"","ID","air_genre_name","air_area_name","latitude","longitude"
"1","restaurant_ 1","Italian/French","Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525
"2","restaurant_ 2","Italian/French","Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525
"3","restaurant_ 3","Italian/French","Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525
"4","restaurant_ 4","Italian/French","Hyogo-ken Kobe-shi Kumoidori",34.6951242,135.1978525
"5","restaurant_ 5","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"6","restaurant_ 6","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"7","restaurant_ 7","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"8","restaurant_ 8","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"9","restaurant_ 9","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"10","restaurant_ 10","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"11","restaurant_ 11","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"12","restaurant_ 12","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"13","restaurant_ 13","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"14","restaurant_ 14","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"15","restaurant_ 15","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"16","restaurant_ 16","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"17","restaurant_ 17","Italian/French","Tokyo-to Minato-ku Shibakoen",35.6580681,139.7515992
"18","restaurant_ 18","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"19","restaurant_ 19","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"20","restaurant_ 20","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"21","restaurant_ 21","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"22","restaurant_ 22","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"23","restaurant_ 23","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"24","restaurant_ 24","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"25","restaurant_ 25","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"26","restaurant_ 26","Italian/French","Fukuoka-ken Fukuoka-shi Daimyo",33.5892157,130.3928134
"27","restaurant_ 27","Italian/French","Tokyo-to Setagaya-ku Setagaya",35.6465721,139.6532473
"28","restaurant_ 28","Italian/French","Tokyo-to Setagaya-ku Setagaya",35.6465721,139.6532473
